Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
100,3392.10,895.90,2624.50,1935.60,1918.80
200,7802.90,2022.80,5830.50,4306.30,4115.90
300,12589.60,3201.50,9229.00,6751.80,6385.90
400,17640.70,4426.30,12781.70,9247.80,8899.20
500,22879.40,5726.30,16356.00,11786.40,11445.80
600,28145.60,7017.50,20131.60,14348.20,14039.70
700,33716.90,8344.40,23788.60,16988.10,16649.40
800,39276.20,9689.00,27733.30,19742.20,19301.20
900,44943.80,11067.80,31635.20,22580.60,21930.40
1000,50640.80,12437.90,35638.80,25455.80,24594.70
1100,56615.30,13839.80,39491.60,28345.70,27286.60
1200,62522.20,15271.30,43422.40,31120.00,29999.60
1300,68215.30,16623.80,47406.00,34025.70,32715.60
1400,74420.00,18169.40,51423.90,36951.20,35465.00
1500,80728.60,19593.00,55638.70,39867.10,38193.80
1600,86603.10,21036.80,59615.60,42803.90,40897.10
1700,92306.20,22465.20,63994.30,45699.50,43661.80
1800,99026.80,23937.30,68384.70,48629.00,46397.20
1900,105256.70,25456.50,72184.10,51622.10,49183.10
2000,111546.70,26903.20,76464.60,54506.20,51909.50
2100,118038.70,28448.40,80642.50,57512.10,54699.50
2200,124310.70,29974.90,84838.40,60413.10,57501.90
2300,130397.70,31444.90,89218.80,63425.60,60277.80
2400,136873.80,32989.80,93471.60,66366.10,63124.90
2500,143698.70,34511.00,97478.60,69305.30,65960.60
2600,150109.70,35984.40,101987.30,72322.30,68712.50
2700,156207.50,37486.20,106139.90,75310.20,71526.90
2800,163112.40,39058.40,110299.00,78444.30,74348.50
2900,169469.90,40621.30,115224.20,81366.30,77262.10
3000,176821.40,42205.00,119179.90,84486.80,80041.70
3100,182414.10,43698.20,123828.00,87341.40,82846.50
3200,189498.70,45294.90,127915.60,90470.30,85727.50
3300,195982.50,46828.40,132251.60,93415.30,88556.90
3400,203169.60,48443.80,136617.00,96511.50,91384.30
3500,209213.10,49945.10,141205.00,99468.50,94237.90
3600,216115.30,51576.70,145258.20,102554.10,97071.20
3700,222665.90,53165.60,149991.30,105599.00,99946.60
3800,229632.10,54814.40,155154.20,108597.30,102795.60
3900,236287.30,56352.90,159374.80,111691.50,105644.90
4000,243402.60,57998.80,164032.20,114684.40,108472.40
4100,249896.40,59456.20,168124.20,117731.50,111388.30
4200,256958.10,61124.40,173257.50,120757.90,114236.00
4300,263494.40,62783.90,176726.50,123779.30,117137.10
4400,270890.50,64303.50,181919.50,126908.20,120037.20
4500,277657.30,66003.50,186875.60,129913.30,122891.80
4600,284540.00,67534.10,190936.50,133004.10,125779.30
4700,290985.70,69240.80,195781.00,136039.70,128817.50
4800,298725.60,70796.00,200045.80,139177.20,131660.70
4900,305310.40,72461.20,204341.20,142334.90,134872.70
5000,312354.30,74135.70,209517.00,145294.30,137794.90
5100,319629.10,75729.90,213925.00,148403.40,140891.30
5200,326399.60,77431.60,217649.30,151599.50,143901.30
5300,333380.70,78869.20,223112.70,154578.90,146968.90
5400,340014.90,80610.10,226765.70,157915.80,150274.00
5500,347720.00,82278.70,231809.70,160929.70,153340.20
5600,354172.90,83836.90,236478.40,164347.30,156612.10
5700,361177.90,85604.30,241228.20,167201.70,159562.70
5800,368877.80,87163.50,245272.40,171103.50,162543.20
5900,375639.10,88829.30,250373.70,173571.50,165837.60
6000,382988.10,90438.90,255237.70,177164.40,168981.40
6100,389615.30,92134.80,259249.90,180303.70,172078.60
6200,397509.50,93810.00,263729.70,183676.70,175215.80
6300,405502.70,95607.30,268434.80,187056.60,178104.00
6400,411214.90,97196.20,272817.80,190581.10,181454.80
6500,418460.80,98853.50,278172.80,193782.10,184575.50
6600,425661.70,100514.40,283377.40,197417.30,187577.70
6700,433177.60,102134.50,288163.80,200371.10,190850.90
6800,440138.60,103823.20,292542.10,203576.60,193908.20
6900,446608.30,105515.10,296371.20,206977.40,197031.60
7000,454297.50,107221.20,301901.80,210340.50,200057.90
7100,461570.70,108702.50,306001.60,213470.20,203113.90
7200,468400.40,110540.60,309828.40,216875.20,206461.80
7300,475798.00,112072.20,315673.10,220463.20,209633.90
7400,483589.20,113791.80,319846.70,223723.80,212398.70
7500,490967.60,115509.70,326099.20,227263.60,215850.20
7600,497889.60,117183.70,331232.80,230591.00,219176.60
7700,505498.90,118992.20,333286.80,233722.70,222164.80
7800,512710.20,120624.80,338797.10,237480.30,225279.10
7900,519886.20,122362.50,345160.20,240625.70,228556.90
8000,527426.90,124070.70,349224.30,243521.70,231542.20
8100,534646.00,125566.90,353440.80,246668.80,234880.60
8200,541967.80,127479.80,358637.40,250149.90,237862.20
8300,549453.80,129256.90,363765.00,253284.60,241065.10
8400,555743.70,130974.60,367346.90,256819.60,244251.00
8500,564018.10,132374.10,372761.80,260393.00,247193.60
8600,571402.10,134174.70,377300.20,263858.90,250639.60
8700,579030.20,135964.20,382593.70,267092.90,253528.60
8800,586135.90,137638.70,386703.50,270555.50,256993.20
8900,593854.30,139470.40,391463.00,273673.70,260083.70
9000,601241.40,141191.00,395770.00,277009.40,262951.10
9100,607979.10,142876.10,402970.10,280541.80,266344.40
9200,615977.90,144599.20,406812.90,283844.30,269802.70
9300,623182.00,146336.70,411031.30,287246.40,272936.90
9400,631322.70,147931.30,415671.60,290675.70,275970.10
9500,637848.00,149670.70,421587.70,294063.00,279267.60
9600,645907.10,151354.30,425166.00,297297.70,282415.60
9700,653467.50,153284.80,430588.00,300763.40,285612.10
9800,660682.20,154723.40,435144.30,304536.30,288777.60
9900,668230.40,156647.00,440381.70,307623.60,291727.60
10000,675006.70,158256.00,445924.60,310560.50,294867.50
