Tamanho,AVL_Media,RB_Media,B1_Media,B5_Media,B10_Media
100,1569.00,375.70,945.50,657.00,564.70
200,3651.40,861.80,2113.80,1482.10,1225.30
300,5919.80,1374.20,3542.10,2286.70,1911.20
400,8338.20,1921.50,4799.50,3169.10,2952.40
500,10848.20,2491.90,6191.80,4023.90,3868.60
600,13369.20,3034.80,7903.20,4900.80,4749.80
700,16031.30,3652.00,9353.40,5999.60,5659.80
800,18791.50,4242.50,10750.80,7555.70,6510.40
900,21412.20,4833.60,12168.00,8539.50,7394.10
1000,24267.80,5455.30,13540.70,9527.30,8290.10
1100,26927.50,6084.00,15132.20,10600.40,9207.50
1200,29733.90,6710.00,17083.50,11635.20,10183.20
1300,32680.90,7349.10,18353.30,12703.00,11090.60
1400,35543.20,8000.50,20429.50,13780.20,12011.40
1500,38454.30,8633.80,21623.50,14839.50,12962.40
1600,41402.50,9274.90,23791.40,15907.20,13857.00
1700,44572.00,9986.80,25306.80,16947.60,14781.30
1800,47482.10,10611.70,26856.00,18007.80,15711.60
1900,50382.40,11264.20,28416.50,19035.70,16584.40
2000,53577.80,11957.70,29773.80,20140.40,17605.80
2100,56381.60,12630.80,31576.10,21176.70,18532.00
2200,59590.00,13328.30,32839.80,22295.70,19521.10
2300,62618.90,13989.10,34724.20,23317.80,20497.30
2400,65733.50,14645.30,36436.10,24498.90,21531.20
2500,68852.70,15326.70,38110.10,25531.50,22502.40
2600,72037.70,16021.90,39875.00,26757.50,23513.80
2700,75173.30,16703.80,41019.10,27916.50,24508.00
2800,78289.90,17422.10,43198.90,29016.00,25409.40
2900,81410.20,18095.70,45413.80,30185.40,26400.50
3000,84644.20,18794.70,47515.40,31272.60,27393.30
3100,87720.80,19528.60,49692.50,32342.20,28374.30
3200,91096.70,20223.90,52456.80,33380.40,29261.30
3300,94341.10,20938.70,53418.80,34489.90,30279.20
3400,97402.50,21576.30,55558.90,35590.40,31229.00
3500,100740.20,22312.20,57088.60,36634.70,32202.60
3600,104320.40,23068.00,58384.80,37747.10,33123.50
3700,107350.60,23759.80,60416.30,38838.10,34145.20
3800,110621.90,24451.00,62741.50,39966.10,35180.20
3900,113645.40,25199.10,64307.20,41076.80,36144.60
4000,116994.10,25876.50,65935.30,42155.70,37139.50
4100,120160.80,26604.90,67677.40,43363.40,38135.50
4200,123578.60,27351.90,69147.10,44436.80,39134.10
4300,126981.50,28091.90,70629.50,45652.60,40192.20
4400,130205.10,28844.30,72810.40,46726.10,41177.40
